shop,menu,format,base,milk,liquid,flavor,toppings,tops
Tea and Milk,Flu Fighter Tea,drink,drink,0,Ginger,other,0,unspecified
Teado Tea Shop,Egg Yolk Special Cocktail,other,other,0,egg yolk,undefined,0,unspecified
Gong Cha,Earl Grey Tea Latte,earl grey tea,milk,1,earl grey,milk,0,unspecified
Alimama,Earl Grey Milk Tea,earl grey tea,tea,1,0,milk,0,unspecified
Gong Cha,Earl Grey Milk Tea,earl grey tea,tea,1,0,milk,0,unspecified
The Alley,Earl Grey Milk Tea,tea,tea,1,0,milk,0,unspecified
Gong Cha,Earl Grey Milk Foam Tea,earl grey tea,tea,1,0,milk,milk foam,milk foam
ViVi Bubble Tea,Earl Grey Milk,milk,milk,1,earl grey,milk,0,unspecified
Alimama,Earl Grey Lavender,earl grey tea,tea,0,lavendar,other,0,unspecified
Song Tea,Durian Tieguanyin Latte,green tea,milk,1,durian,fruit,0,unspecified
Teazzi Tea Shop,Deep Roasted Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Tea and Milk,Dark Roasted Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
OJBK Tea Shop,Darjeeling Milk Tea,tea,tea,1,0,milk,0,unspecified
Song Tea,Da Hong Pao Milk Tea,tea,tea,1,0,milk,0,unspecified
Mr. Wish,Colorful Fruit Tea,tea,tea,0,fruit,fruit,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Yifang Fruit Tea,black tea,tea,0,fruit,fruit,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Sun Moon Lake Black Tea,black tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Songboiling Mountain Tea,green tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Oolong Tea Latte,oolong tea,milk,1,oolong tea,milk,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Logu Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Cold Black Tea Latte,black tea,milk,1,black tea,milk,0,unspecified
Moge Tee,Classic Uji Matcha,matcha,other,0,0,undefined,0,unspecified
M Tea,Classic Milk Tea,tea,tea,1,0,milk,0,unspecified
Shiny Tea,Classic Black Milk Tea,tea,tea,1,0,milk,0,unspecified
Ten Ren's Tea Time,Chrysanthemum Tea,tea,tea,0,chrysanthemum,undefined,0,unspecified
OJBK Tea Shop,Chocolate Milk Tea,tea,tea,1,chocolate,chocolate,0,unspecified
Tea Magic,Chocolate Milk Tea,tea,tea,1,chocolate,chocolate,0,unspecified
